account_id,company_name,country,subregion,industry,employee_band,estimated_arr,segment,account_status,coverage_status,engagement_status,last_activity_date,employee_band_num,segment_num,cluster,tier,priority_flag
29,"Gonzalez, Allen and Ramirez",VN,SEA,Fintech,51-200,179200.0,Mid-Market,Prospect,Assigned,Stale,2023-11-29,2,2,1,Tier 2,Standard
31,"Warren, Mccoy and King",TH,SEA,SaaS,201-500,1747900.0,Enterprise,Prospect,Assigned,Stale,2024-09-25,3,3,0,Tier 1,Priority
34,"Barrett, Morgan and Sanchez",TH,SEA,Healthcare,201-500,196100.0,Mid-Market,Inactive,Assigned,Stale,2023-03-30,3,2,1,Tier 2,Standard
38,Carpenter-Jones,PH,SEA,Manufacturing,201-500,173900.0,Mid-Market,Prospect,Assigned,Stale,2024-09-04,3,2,1,Tier 2,Standard
41,Douglas Inc,SG,SEA,Healthcare,51-200,151200.0,Mid-Market,Active,Assigned,Stale,2023-12-06,2,2,1,Tier 2,Standard
42,"Taylor, Jensen and Johnson",MY,SEA,Retail,51-200,24700.0,SMB,Churned,Assigned,Stale,2023-02-04,2,1,2,Tier 3,Standard
44,"Reynolds, Kennedy and Brooks",SG,SEA,Logistics,201-500,1549200.0,Enterprise,Active,Unassigned,No Coverage,Never,3,3,0,Tier 1,Priority
45,Ross-Smith,ID,SEA,SaaS,201-500,220600.0,Mid-Market,Churned,Unassigned,No Coverage,Never,3,2,1,Tier 2,Standard
46,Hodges-Herring,SG,SEA,Manufacturing,51-200,215900.0,Mid-Market,Active,Assigned,Stale,2024-07-19,2,2,1,Tier 2,Standard
51,"Moore, Arnold and Ayala",TH,SEA,Healthcare,1-50,38100.0,SMB,Prospect,Assigned,Stale,2024-04-11,1,1,2,Tier 3,Standard
53,Mcdowell-Schneider,TH,SEA,Education,201-500,41900.0,SMB,Prospect,Assigned,Stale,2024-06-19,3,1,2,Tier 3,Standard
54,"Collins, Martin and Barnes",MY,SEA,Retail,51-200,8100.0,SMB,Prospect,Unassigned,No Coverage,Never,2,1,2,Tier 3,Standard
56,"Marshall, Page and Rice",SG,SEA,Retail,51-200,24600.0,SMB,Prospect,Assigned,Stale,2024-04-21,2,1,2,Tier 3,Standard
57,"Wilkinson, Friedman and Wallace",SG,SEA,Retail,1-50,30900.0,SMB,Active,Assigned,Stale,2023-06-01,1,1,2,Tier 3,Standard
58,Morales and Sons,VN,SEA,Logistics,201-500,198400.0,Mid-Market,Active,Assigned,Stale,2023-04-08,3,2,1,Tier 2,Standard
59,Williams-Taylor,PH,SEA,Education,51-200,43200.0,SMB,Active,Assigned,Stale,2023-12-14,2,1,2,Tier 3,Standard
60,"Allen, Evans and Dickson",MY,SEA,E-commerce,51-200,109100.0,Mid-Market,Churned,Assigned,Stale,2023-10-25,2,2,1,Tier 2,Standard
61,Hanson-Davis,PH,SEA,Professional Services,501-2000,131200.0,Mid-Market,Active,Assigned,Stale,2024-10-19,4,2,1,Tier 2,Standard
65,Henderson-Lee,SG,SEA,Education,201-500,227200.0,Mid-Market,Inactive,Assigned,Stale,2024-02-02,3,2,1,Tier 2,Standard
66,Mullen and Sons,ID,SEA,Education,201-500,35900.0,SMB,Prospect,Assigned,Stale,2024-02-03,3,1,2,Tier 3,Standard
68,"Burns, Garcia and Mahoney",TH,SEA,Media,51-200,25900.0,SMB,Active,Assigned,Stale,2024-09-14,2,1,2,Tier 3,Standard
69,Soto-Thompson,PH,SEA,E-commerce,501-2000,1811000.0,Enterprise,Inactive,Assigned,Stale,2024-06-28,4,3,0,Tier 1,Priority
71,Moody PLC,TH,SEA,Logistics,51-200,104900.0,Mid-Market,Active,Assigned,Stale,2024-10-22,2,2,1,Tier 2,Standard
73,Ramirez-Moore,TH,SEA,Professional Services,1-50,26000.0,SMB,Inactive,Assigned,Stale,2024-04-18,1,1,2,Tier 3,Standard
74,Bender and Sons,VN,SEA,Manufacturing,51-200,44600.0,SMB,Churned,Assigned,Stale,2023-06-21,2,1,2,Tier 3,Standard
75,Butler-Bishop,TH,SEA,Professional Services,501-2000,1918500.0,Enterprise,Prospect,Assigned,Stale,2022-08-27,4,3,0,Tier 1,Priority
76,Cabrera and Sons,ID,SEA,Education,201-500,104600.0,Mid-Market,Prospect,Assigned,Stale,2024-07-27,3,2,1,Tier 2,Standard
77,Lynch and Sons,VN,SEA,Education,1-50,26000.0,SMB,Active,Assigned,Stale,2022-12-28,1,1,2,Tier 3,Standard
79,"Ballard, Rogers and Perry",MY,SEA,Education,1-50,14500.0,SMB,Inactive,Assigned,Stale,2023-06-08,1,1,2,Tier 3,Standard
82,Williams LLC,PH,SEA,Manufacturing,51-200,10700.0,SMB,Active,Assigned,Stale,2023-05-01,2,1,2,Tier 3,Standard
85,"Garcia, Thomas and Cruz",SG,SEA,Professional Services,51-200,216100.0,Mid-Market,Active,Assigned,Stale,2023-02-22,2,2,1,Tier 2,Standard
86,"Smith, Swanson and Perry",SG,SEA,Fintech,201-500,1240400.0,Enterprise,Prospect,Assigned,Stale,2023-06-11,3,3,0,Tier 1,Priority
87,Anderson-Hill,PH,SEA,Logistics,201-500,52500.0,Mid-Market,Inactive,Assigned,Stale,2024-10-28,3,2,1,Tier 2,Standard
89,"Walker, Martin and Montoya",PH,SEA,Manufacturing,501-2000,1191800.0,Enterprise,Prospect,Assigned,Stale,2023-09-18,4,3,0,Tier 1,Priority
91,Hayes PLC,PH,SEA,Healthcare,51-200,125800.0,Mid-Market,Active,Assigned,Stale,2024-11-22,2,2,1,Tier 2,Standard
92,Kennedy and Sons,MY,SEA,SaaS,2001+,845600.0,Enterprise,Active,Assigned,Stale,2023-09-22,5,3,0,Tier 1,Priority
93,Francis-Thompson,PH,SEA,Media,2001+,399800.0,Enterprise,Prospect,Assigned,Stale,2024-03-09,5,3,0,Tier 1,Standard
94,Wright-Meyer,VN,SEA,Healthcare,51-200,139600.0,Mid-Market,Inactive,Assigned,Stale,2024-10-18,2,2,1,Tier 2,Standard
95,Jimenez-Ramirez,MY,SEA,Retail,201-500,123800.0,Mid-Market,Churned,Assigned,Stale,2023-05-26,3,2,1,Tier 2,Standard
96,"Salazar, Thomas and Rivera",MY,SEA,Logistics,1-50,25400.0,SMB,Prospect,Assigned,Stale,2024-06-10,1,1,2,Tier 3,Standard
98,Ramos-White,VN,SEA,Manufacturing,201-500,202000.0,Mid-Market,Prospect,Unassigned,No Coverage,Never,3,2,1,Tier 2,Standard
100,"Miller, West and Pitts",PH,SEA,SaaS,51-200,47500.0,SMB,Active,Assigned,Stale,2023-12-20,2,1,2,Tier 3,Standard
101,"Abbott, Brown and Welch",PH,SEA,Media,1-50,26500.0,SMB,Active,Assigned,Stale,2023-07-14,1,1,2,Tier 3,Standard
102,"Rodriguez, Rodriguez and Potter",SG,SEA,E-commerce,201-500,951200.0,Enterprise,Active,Assigned,Stale,2024-06-24,3,3,0,Tier 1,Priority
103,Ball-Robles,PH,SEA,Professional Services,501-2000,399100.0,Enterprise,Inactive,Assigned,Stale,2024-01-21,4,3,0,Tier 1,Standard
104,Garza-Gonzalez,PH,SEA,Education,1-50,28500.0,SMB,Prospect,Assigned,Stale,2024-04-12,1,1,2,Tier 3,Standard
107,"Hamilton, Cardenas and Figueroa",VN,SEA,Media,51-200,108300.0,Mid-Market,Prospect,Assigned,Stale,2024-07-23,2,2,1,Tier 2,Standard
109,Beck Ltd,TH,SEA,SaaS,1-50,15100.0,SMB,Active,Assigned,Stale,2024-08-09,1,1,2,Tier 3,Standard
111,Walter-Allen,VN,SEA,Professional Services,1-50,23100.0,SMB,Inactive,Assigned,Stale,2022-10-15,1,1,2,Tier 3,Standard
113,Baker-Miller,PH,SEA,E-commerce,501-2000,1999300.0,Enterprise,Active,Assigned,Stale,2024-02-05,4,3,0,Tier 1,Priority
114,Bennett-Franco,TH,SEA,Media,51-200,138400.0,Mid-Market,Inactive,Assigned,Stale,2023-12-03,2,2,1,Tier 2,Standard
116,Calhoun-Allison,VN,SEA,Fintech,201-500,182500.0,Mid-Market,Active,Assigned,Stale,2024-11-28,3,2,1,Tier 2,Standard
117,Rodgers PLC,MY,SEA,SaaS,51-200,10200.0,SMB,Prospect,Assigned,Stale,2022-07-05,2,1,2,Tier 3,Standard
118,"Anderson, Gray and Bruce",VN,SEA,Media,201-500,1058500.0,Enterprise,Prospect,Assigned,Stale,2024-03-19,3,3,0,Tier 1,Priority
120,Williams LLC,SG,SEA,SaaS,51-200,33400.0,SMB,Active,Assigned,Stale,2023-11-01,2,1,2,Tier 3,Standard
122,"Wu, Sloan and Andersen",TH,SEA,Media,2001+,760800.0,Enterprise,Inactive,Assigned,Stale,2024-03-31,5,3,0,Tier 1,Priority
123,Greene Inc,ID,SEA,E-commerce,51-200,78900.0,Mid-Market,Prospect,Assigned,Stale,2024-10-16,2,2,1,Tier 2,Standard
124,"Hale, Villarreal and Evans",SG,SEA,SaaS,1-50,40600.0,SMB,Prospect,Assigned,Stale,2024-04-09,1,1,2,Tier 3,Standard
125,"Marshall, Gonzalez and Williams",MY,SEA,Media,201-500,217500.0,Mid-Market,Prospect,Assigned,Stale,2023-12-05,3,2,1,Tier 2,Standard
126,Miller Group,PH,SEA,Healthcare,201-500,116500.0,Mid-Market,Churned,Assigned,Stale,2023-07-13,3,2,1,Tier 2,Standard
127,Davis-Travis,VN,SEA,Media,201-500,22200.0,SMB,Active,Assigned,Stale,2024-06-26,3,1,2,Tier 3,Standard
128,Gray Inc,VN,SEA,E-commerce,2001+,917200.0,Enterprise,Prospect,Assigned,Stale,2023-02-28,5,3,0,Tier 1,Priority
129,Zhang Ltd,TH,SEA,Media,2001+,470900.0,Enterprise,Active,Assigned,Stale,2023-10-05,5,3,0,Tier 1,Standard
130,"Burgess, Gilbert and Elliott",SG,SEA,E-commerce,201-500,141400.0,Mid-Market,Prospect,Assigned,Stale,2024-06-02,3,2,1,Tier 2,Standard
131,Hill-Rios,SG,SEA,Logistics,201-500,243800.0,Mid-Market,Prospect,Assigned,Stale,2024-10-31,3,2,1,Tier 2,Standard
132,Green Group,VN,SEA,Retail,501-2000,915000.0,Enterprise,Prospect,Assigned,Stale,2024-02-24,4,3,0,Tier 1,Priority
133,"Patterson, Poole and Watson",SG,SEA,Fintech,201-500,97000.0,Mid-Market,Active,Assigned,Stale,2023-03-11,3,2,1,Tier 2,Standard
135,Allen-Jimenez,SG,SEA,Retail,1-50,40800.0,SMB,Active,Assigned,Stale,2024-01-28,1,1,2,Tier 3,Standard
137,Cruz and Sons,VN,SEA,Manufacturing,1-50,46100.0,SMB,Active,Assigned,Stale,2023-08-11,1,1,2,Tier 3,Standard
138,Potter PLC,VN,SEA,Media,201-500,41200.0,SMB,Active,Assigned,Stale,2024-08-02,3,1,2,Tier 3,Standard
140,"Mcneil, Wade and Smith",ID,SEA,Manufacturing,201-500,1743300.0,Enterprise,Inactive,Assigned,Stale,2024-01-24,3,3,0,Tier 1,Priority
141,Burke-Richardson,VN,SEA,SaaS,51-200,49000.0,SMB,Prospect,Assigned,Stale,2024-06-29,2,1,2,Tier 3,Standard
142,Miller PLC,PH,SEA,Logistics,501-2000,216600.0,Mid-Market,Active,Assigned,Stale,2023-03-07,4,2,1,Tier 2,Standard
143,Lopez Ltd,ID,SEA,E-commerce,201-500,174200.0,Mid-Market,Prospect,Assigned,Stale,2023-12-06,3,2,1,Tier 2,Standard
144,"Adams, Ortega and Hoffman",VN,SEA,Logistics,1-50,33200.0,SMB,Active,Assigned,Stale,2024-07-21,1,1,2,Tier 3,Standard
145,Sutton-Humphrey,VN,SEA,Retail,1-50,45900.0,SMB,Active,Assigned,Stale,2024-11-02,1,1,2,Tier 3,Standard
146,Rodriguez-King,MY,SEA,Media,501-2000,232700.0,Mid-Market,Prospect,Assigned,Stale,2024-11-17,4,2,1,Tier 2,Standard
149,Frank Inc,SG,SEA,Education,1-50,10600.0,SMB,Active,Assigned,Stale,2024-07-23,1,1,2,Tier 3,Standard
151,"Chapman, Rodriguez and Odom",MY,SEA,Manufacturing,201-500,637400.0,Enterprise,Churned,Assigned,Stale,2023-02-21,3,3,0,Tier 1,Standard
152,Smith-Scott,VN,SEA,Fintech,501-2000,78000.0,Mid-Market,Inactive,Assigned,Stale,2024-08-05,4,2,1,Tier 2,Standard
153,York-Morgan,ID,SEA,Retail,501-2000,487400.0,Enterprise,Prospect,Assigned,Stale,2023-10-02,4,3,0,Tier 1,Standard
154,"Jones, Lee and Burns",TH,SEA,Professional Services,501-2000,195300.0,Mid-Market,Prospect,Assigned,Stale,2023-10-29,4,2,1,Tier 2,Standard
156,Smith-Reyes,MY,SEA,Education,51-200,35900.0,SMB,Inactive,Assigned,Stale,2024-06-05,2,1,2,Tier 3,Standard
157,"Smith, Wolfe and Crawford",MY,SEA,Professional Services,51-200,10500.0,SMB,Prospect,Assigned,Stale,2022-11-22,2,1,2,Tier 3,Standard
158,Smith Ltd,SG,SEA,Retail,201-500,20000.0,SMB,Active,Assigned,Stale,2022-12-05,3,1,2,Tier 3,Standard
159,Perez-Harris,ID,SEA,Professional Services,51-200,212600.0,Mid-Market,Prospect,Assigned,Stale,2023-12-29,2,2,1,Tier 2,Standard
160,Ibarra LLC,SG,SEA,Fintech,201-500,49300.0,SMB,Prospect,Assigned,Stale,2023-11-02,3,1,2,Tier 3,Standard
161,Moreno-Newton,VN,SEA,SaaS,501-2000,480700.0,Enterprise,Prospect,Assigned,Stale,2024-11-12,4,3,0,Tier 1,Standard
164,Liu Group,MY,SEA,Fintech,51-200,242800.0,Mid-Market,Inactive,Assigned,Stale,2024-05-15,2,2,1,Tier 2,Standard
166,"Ellis, Jacobs and Luna",MY,SEA,Manufacturing,201-500,167100.0,Mid-Market,Prospect,Assigned,Stale,2023-10-19,3,2,1,Tier 2,Standard
168,Hunter-Spears,VN,SEA,Education,2001+,1002600.0,Enterprise,Prospect,Assigned,Stale,2024-07-10,5,3,0,Tier 1,Priority
169,Torres and Sons,TH,SEA,Media,201-500,112500.0,Mid-Market,Churned,Assigned,Stale,2023-12-29,3,2,1,Tier 2,Standard
170,Howard and Sons,SG,SEA,E-commerce,1-50,8800.0,SMB,Inactive,Assigned,Stale,2023-03-20,1,1,2,Tier 3,Standard
171,Gonzalez-Hawkins,PH,SEA,Education,51-200,48000.0,SMB,Inactive,Assigned,Stale,2023-10-09,2,1,2,Tier 3,Standard
173,"Miles, Goodwin and Fernandez",VN,SEA,Manufacturing,201-500,219500.0,Mid-Market,Active,Assigned,Stale,2023-05-05,3,2,1,Tier 2,Standard
174,"Wilson, Harper and Ramirez",PH,SEA,Retail,51-200,24300.0,SMB,Prospect,Assigned,Stale,2023-08-04,2,1,2,Tier 3,Standard
176,Castaneda Inc,MY,SEA,SaaS,1-50,13200.0,SMB,Active,Assigned,Stale,2023-01-25,1,1,2,Tier 3,Standard
177,Juarez-Haynes,SG,SEA,Logistics,201-500,93000.0,Mid-Market,Inactive,Unassigned,No Coverage,Never,3,2,1,Tier 2,Standard
178,Lara PLC,PH,SEA,Fintech,51-200,226700.0,Mid-Market,Active,Assigned,Stale,2023-02-05,2,2,1,Tier 2,Standard
179,Lee-Roberson,MY,SEA,Retail,201-500,134800.0,Mid-Market,Active,Assigned,Stale,2023-12-01,3,2,1,Tier 2,Standard
180,"White, Pierce and Henry",SG,SEA,Manufacturing,51-200,10000.0,SMB,Prospect,Unassigned,No Coverage,Never,2,1,2,Tier 3,Standard
182,"Gonzales, Franklin and Gordon",MY,SEA,Retail,1-50,10400.0,SMB,Active,Assigned,Stale,2023-05-26,1,1,2,Tier 3,Standard
183,Smith-Walters,VN,SEA,SaaS,51-200,30100.0,SMB,Inactive,Assigned,Stale,2024-02-02,2,1,2,Tier 3,Standard
184,"Holmes, Wagner and Wong",TH,SEA,Education,201-500,46500.0,SMB,Prospect,Assigned,Stale,2023-10-13,3,1,2,Tier 3,Standard
185,Sullivan-Harris,MY,SEA,Logistics,1-50,5900.0,SMB,Prospect,Assigned,Stale,2024-04-22,1,1,2,Tier 3,Standard
186,Hart Inc,SG,SEA,Manufacturing,201-500,71200.0,Mid-Market,Active,Assigned,Stale,2024-11-16,3,2,1,Tier 2,Standard
187,"Juarez, Armstrong and Jackson",VN,SEA,Retail,1-50,20000.0,SMB,Active,Assigned,Stale,2024-04-13,1,1,2,Tier 3,Standard
188,Henry PLC,ID,SEA,Healthcare,2001+,861400.0,Enterprise,Prospect,Unassigned,No Coverage,Never,5,3,0,Tier 1,Priority
190,"Jordan, Donaldson and Copeland",VN,SEA,Professional Services,201-500,200900.0,Mid-Market,Churned,Assigned,Stale,2024-08-20,3,2,1,Tier 2,Standard
194,Moore-Austin,PH,SEA,SaaS,201-500,126900.0,Mid-Market,Prospect,Assigned,Stale,2024-05-26,3,2,1,Tier 2,Standard
195,"Mclaughlin, Bradley and Oconnor",TH,SEA,SaaS,201-500,1250400.0,Enterprise,Prospect,Assigned,Stale,2022-01-28,3,3,0,Tier 1,Priority
196,Booth Ltd,TH,SEA,E-commerce,1-50,45500.0,SMB,Prospect,Assigned,Stale,2024-10-10,1,1,2,Tier 3,Standard
197,Petersen-Dickerson,SG,SEA,Logistics,1-50,24700.0,SMB,Active,Assigned,Stale,2023-12-11,1,1,2,Tier 3,Standard
200,"Lee, Thomas and Williams",ID,SEA,Education,1-50,31200.0,SMB,Churned,Assigned,Stale,2024-03-16,1,1,2,Tier 3,Standard
201,Johnson-Dalton,ID,SEA,E-commerce,201-500,237600.0,Mid-Market,Prospect,Assigned,Stale,2024-02-04,3,2,1,Tier 2,Standard
202,Mcdaniel LLC,VN,SEA,Education,501-2000,239400.0,Mid-Market,Active,Assigned,Stale,2024-01-11,4,2,1,Tier 2,Standard
205,"Schaefer, Brown and Carter",VN,SEA,Education,501-2000,316100.0,Enterprise,Active,Assigned,Stale,2024-01-18,4,3,1,Tier 2,Standard
206,Lane LLC,ID,SEA,Media,51-200,42400.0,SMB,Active,Assigned,Stale,2024-04-04,2,1,2,Tier 3,Standard
207,"Reynolds, Harrison and Watson",SG,SEA,Media,51-200,185300.0,Mid-Market,Active,Assigned,Stale,2024-10-04,2,2,1,Tier 2,Standard
208,Collins Inc,ID,SEA,Logistics,501-2000,111900.0,Mid-Market,Prospect,Assigned,Stale,2024-04-16,4,2,1,Tier 2,Standard
209,"Miller, Lara and Cox",VN,SEA,Retail,501-2000,1972800.0,Enterprise,Inactive,Assigned,Stale,2024-08-18,4,3,0,Tier 1,Priority
211,Webb-Valdez,MY,SEA,E-commerce,501-2000,70500.0,Mid-Market,Active,Assigned,Stale,2024-05-19,4,2,1,Tier 2,Standard
213,Garcia-Shelton,MY,SEA,Fintech,501-2000,976100.0,Enterprise,Inactive,Assigned,Stale,2024-11-07,4,3,0,Tier 1,Priority
214,"Clements, Oliver and Smith",MY,SEA,E-commerce,1-50,19300.0,SMB,Active,Assigned,Stale,2023-03-12,1,1,2,Tier 3,Standard
215,Brooks-Wang,ID,SEA,Media,1-50,46300.0,SMB,Prospect,Assigned,Stale,2024-09-07,1,1,2,Tier 3,Standard
218,"Gregory, Brooks and Rodriguez",TH,SEA,Professional Services,1-50,42700.0,SMB,Prospect,Assigned,Stale,2024-10-14,1,1,2,Tier 3,Standard
219,Gibson LLC,ID,SEA,E-commerce,51-200,108300.0,Mid-Market,Prospect,Assigned,Stale,2024-12-01,2,2,1,Tier 2,Standard
221,Davis-Walters,PH,SEA,SaaS,1-50,44300.0,SMB,Inactive,Assigned,Stale,2022-09-06,1,1,2,Tier 3,Standard
222,Thomas-Mitchell,MY,SEA,Logistics,2001+,853400.0,Enterprise,Prospect,Assigned,Stale,2023-08-29,5,3,0,Tier 1,Priority
224,Smith Ltd,VN,SEA,SaaS,51-200,86500.0,Mid-Market,Churned,Assigned,Stale,2023-10-02,2,2,1,Tier 2,Standard
225,Campbell-Snyder,MY,SEA,Education,201-500,40600.0,SMB,Active,Assigned,Stale,2024-09-27,3,1,2,Tier 3,Standard
226,"Rodgers, Miller and Cox",PH,SEA,SaaS,201-500,57300.0,Mid-Market,Prospect,Assigned,Stale,2023-11-24,3,2,1,Tier 2,Standard
227,Dillon Inc,VN,SEA,Education,1-50,10600.0,SMB,Prospect,Unassigned,No Coverage,Never,1,1,2,Tier 3,Standard
228,Nichols Inc,MY,SEA,Fintech,501-2000,1118400.0,Enterprise,Prospect,Assigned,Stale,2022-07-23,4,3,0,Tier 1,Priority
231,"Williams, Simmons and Jones",MY,SEA,SaaS,501-2000,195400.0,Mid-Market,Inactive,Assigned,Stale,2024-07-12,4,2,1,Tier 2,Standard
232,Peck-Kennedy,SG,SEA,SaaS,201-500,131200.0,Mid-Market,Active,Assigned,Stale,2024-06-23,3,2,1,Tier 2,Standard
234,"Werner, Armstrong and Taylor",MY,SEA,Logistics,51-200,30500.0,SMB,Churned,Assigned,Stale,2023-07-20,2,1,2,Tier 3,Standard
237,Moore Inc,VN,SEA,Fintech,51-200,249300.0,Mid-Market,Inactive,Assigned,Stale,2024-05-02,2,2,1,Tier 2,Standard
238,Lindsey and Sons,ID,SEA,Logistics,2001+,1041100.0,Enterprise,Active,Assigned,Stale,2024-03-04,5,3,0,Tier 1,Priority
239,Parsons and Sons,VN,SEA,E-commerce,51-200,7900.0,SMB,Prospect,Assigned,Stale,2023-10-12,2,1,2,Tier 3,Standard
242,Hopkins LLC,SG,SEA,Professional Services,51-200,50000.0,SMB,Prospect,Assigned,Stale,2024-07-23,2,1,2,Tier 3,Standard
243,Allen-Conner,SG,SEA,E-commerce,1-50,19300.0,SMB,Prospect,Unassigned,No Coverage,Never,1,1,2,Tier 3,Standard
244,Jones LLC,PH,SEA,SaaS,501-2000,86400.0,Mid-Market,Churned,Assigned,Stale,2024-11-22,4,2,1,Tier 2,Standard
245,Keller PLC,SG,SEA,Retail,51-200,110800.0,Mid-Market,Active,Assigned,Stale,2023-09-28,2,2,1,Tier 2,Standard
246,"Thomas, Washington and Rodriguez",MY,SEA,Manufacturing,501-2000,688600.0,Enterprise,Active,Assigned,Stale,2024-10-03,4,3,0,Tier 1,Priority
247,Andrews-Mccann,PH,SEA,Professional Services,51-200,150500.0,Mid-Market,Active,Assigned,Stale,2024-04-30,2,2,1,Tier 2,Standard
250,Smith-Hoover,VN,SEA,Healthcare,51-200,45000.0,SMB,Active,Assigned,Stale,2022-08-23,2,1,2,Tier 3,Standard
253,Elliott-Hall,TH,SEA,Manufacturing,51-200,21700.0,SMB,Inactive,Assigned,Stale,2023-03-19,2,1,2,Tier 3,Standard
254,Harris-Mcdonald,TH,SEA,Healthcare,1-50,9400.0,SMB,Prospect,Assigned,Stale,2023-03-20,1,1,2,Tier 3,Standard
258,Morse Inc,MY,SEA,Education,201-500,219400.0,Mid-Market,Prospect,Assigned,Stale,2023-12-22,3,2,1,Tier 2,Standard
259,"Stephens, Robertson and Kennedy",MY,SEA,Education,51-200,7300.0,SMB,Active,Assigned,Stale,2024-09-15,2,1,2,Tier 3,Standard
260,"Anderson, Lopez and Love",PH,SEA,E-commerce,501-2000,160000.0,Mid-Market,Prospect,Assigned,Stale,2024-01-12,4,2,1,Tier 2,Standard
263,Douglas-Snyder,PH,SEA,E-commerce,201-500,171300.0,Mid-Market,Prospect,Assigned,Stale,2024-10-10,3,2,1,Tier 2,Standard
264,"Williams, Munoz and Kim",TH,SEA,Retail,501-2000,1543800.0,Enterprise,Prospect,Unassigned,No Coverage,Never,4,3,0,Tier 1,Priority
265,Jones-Cohen,TH,SEA,Education,501-2000,110000.0,Mid-Market,Prospect,Assigned,Stale,2024-05-31,4,2,1,Tier 2,Standard
266,Daniels-Harrison,PH,SEA,Manufacturing,201-500,45400.0,SMB,Prospect,Assigned,Stale,2023-09-01,3,1,2,Tier 3,Standard
267,Abbott and Sons,VN,SEA,E-commerce,501-2000,1608300.0,Enterprise,Prospect,Assigned,Stale,2024-08-12,4,3,0,Tier 1,Priority
269,"Taylor, Rocha and Clark",PH,SEA,Healthcare,201-500,442300.0,Enterprise,Active,Assigned,Stale,2023-02-02,3,3,1,Tier 2,Standard
270,"Reyes, Taylor and Bryant",TH,SEA,E-commerce,201-500,172300.0,Mid-Market,Prospect,Assigned,Stale,2024-02-23,3,2,1,Tier 2,Standard
271,Stone Inc,PH,SEA,E-commerce,51-200,19600.0,SMB,Active,Assigned,Stale,2024-10-19,2,1,2,Tier 3,Standard
274,Kirby Inc,MY,SEA,Manufacturing,201-500,188000.0,Mid-Market,Prospect,Assigned,Stale,2024-10-27,3,2,1,Tier 2,Standard
275,"Crawford, Martinez and Sullivan",MY,SEA,E-commerce,1-50,35400.0,SMB,Prospect,Assigned,Stale,2023-12-13,1,1,2,Tier 3,Standard
276,Alvarez-Ruiz,MY,SEA,Media,1-50,48000.0,SMB,Prospect,Assigned,Stale,2024-06-23,1,1,2,Tier 3,Standard
277,"Hall, Walton and Howe",ID,SEA,Professional Services,201-500,29200.0,SMB,Active,Assigned,Stale,2024-08-30,3,1,2,Tier 3,Standard
278,"Smith, King and Willis",VN,SEA,SaaS,201-500,98500.0,Mid-Market,Prospect,Assigned,Stale,2023-10-31,3,2,1,Tier 2,Standard
279,"Swanson, Berg and Sanchez",SG,SEA,Retail,51-200,193500.0,Mid-Market,Active,Assigned,Stale,2024-11-27,2,2,1,Tier 2,Standard
280,Reynolds-Banks,ID,SEA,Manufacturing,501-2000,237000.0,Mid-Market,Active,Assigned,Stale,2024-11-02,4,2,1,Tier 2,Standard
